GTID,Date,Country,City,Perpetrator_group,fatalities,injured,target_type,attack_type,weapon_type
202012140034,2020-12-14,Nigeria,Zairam,Boko Haram (suspected),4,Unknown,Private Citizens & Property,Sub-Saharan Africa,"Hostage Taking (Kidnapping),Armed Assault"
202012140024,2020-12-14,Cameroon,Kembong,Separatists,0,0,Military,Sub-Saharan Africa,Bombing/Explosion
202012130024,2020-12-13,Cameroon,Dibanda,Unknown,Unknown,Unknown,Business,Sub-Saharan Africa,Hostage Taking (Kidnapping)
202012130023,2020-12-13,Cameroon,Dibanda,Separatists,1,0,Private Citizens & Property,Sub-Saharan Africa,"Assassination,Hostage Taking (Kidnapping)"
202012120020,2020-12-12,Nigeria,Askira,Boko Haram,3,2,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
202012120017,2020-12-12,Cameroon,Babanki,Separatists,0,0,Government (General),Sub-Saharan Africa,Hostage Taking (Kidnapping)
202012120006,2020-12-09,Nigeria,Shengen,Boko Haram,Unknown,Unknown,"Government (Diplomatic),NGO",Sub-Saharan Africa,Hostage Taking (Kidnapping)
202012120005,2020-12-12,Niger,Toumour,Boko Haram,34,100,Private Citizens & Property,Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
202012110024,2020-12-11,Nigeria,Tse Angbande,Fulani extremists,4,7,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
202012110022,2020-12-11,Nigeria,Dikwa,Unknown,4,8,Private Citizens & Property,Sub-Saharan Africa,Bombing/Explosion
202012110005,2020-12-11,Nigeria,Kankara,"Fulani extremists,Boko Haram (suspected)",Unknown,Unknown,Educational Institution,Sub-Saharan Africa,Hostage Taking (Kidnapping)
202012100038,2020-12-10,Nigeria,Gumsa,Boko Haram,0,0,Business,Sub-Saharan Africa,Facility/Infrastructure Attack
202012100033,2020-12-10,Cameroon,Bakarise,Boko Haram,0,2,Military,Sub-Saharan Africa,Bombing/Explosion
202012100032,2020-12-10,Cameroon,Gakara,Boko Haram,0,1,Private Citizens & Property,Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
202012080015,2020-12-08,Ghana,Fomena,Unknown,0,0,Government (General),Sub-Saharan Africa,Facility/Infrastructure Attack
202012070001,2020-12-07,Ghana,Kasoa,Unknown,0,2,Government (General),Sub-Saharan Africa,Assassination
202012060019,2020-12-06,Cameroon,Bamenda,Unknown,0,2,Religious Figures/Institutions,Sub-Saharan Africa,Armed Assault
202012060018,2020-12-06,Cameroon,Momo,Separatists,1,0,"Military,Government (General)",Sub-Saharan Africa,Assassination
202012050008,2020-12-04,Niger,La Tapoa,Unknown,2,3,"Military,Government (General)",Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
202012040022,2020-12-04,Cameroon,Wemdeley,Boko Haram,1,0,Private Citizens & Property,Sub-Saharan Africa,Assassination
202012040007,2020-12-04,Cameroon,Ashigashiya,Boko Haram,3,3,Private Citizens & Property,Sub-Saharan Africa,"Hostage Taking (Kidnapping),Facility/Infrastructure Attack"
202012010026,2020-12-01,Nigeria,Wang,Fulani extremists,3,Unknown,"Private Citizens & Property,Government (General)",Sub-Saharan Africa,"Hostage Taking (Kidnapping),Armed Assault"
202012010023,2020-12-01,Nigeria,Wokilti,Boko Haram,Unknown,Unknown,"NGO,Government (General)",Sub-Saharan Africa,Hostage Taking (Kidnapping)
202012010022,2020-12-01,Niger,Banizoumbou,Unknown,1,1,Military,Sub-Saharan Africa,Armed Assault
202011280022,2020-11-28,Nigeria,Port Harcourt,Indigenous People of Biafra (IPOB) (suspected),0,Unknown,Religious Figures/Institutions,Sub-Saharan Africa,Bombing/Explosion
202011280019,2020-11-28,Nigeria,Tor-Iorshaer,Jukun militia (suspected),4,0,Private Citizens & Property,Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
202011280009,2020-11-28,Nigeria,Koshobe,Boko Haram,81,6,"Private Citizens & Property,Private Citizens & Property",Sub-Saharan Africa,"Hostage Taking (Kidnapping),Armed Assault,Facility/Infrastructure Attack"
202011270027,2020-11-27,Nigeria,Chafa,Boko Haram,13,0,Private Citizens & Property,Sub-Saharan Africa,Unknown
202011260035,2020-11-26,Nigeria,Unknown,Reformed Niger Delta Avengers (RNDA),0,0,Maritime,Sub-Saharan Africa,Hijacking
202011250028,2020-11-27,Nigeria,Kareto,Boko Haram,0,0,Private Citizens & Property,Sub-Saharan Africa,Facility/Infrastructure Attack
202011250022,2020-11-25,Cameroon,Guidi,Boko Haram,0,0,Private Citizens & Property,Sub-Saharan Africa,Facility/Infrastructure Attack
202011240030,2020-11-24,Nigeria,Diegi,Fulani extremists,1,3,Private Citizens & Property,Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
202011240007,2020-11-24,Chad,Ngouboua,Boko Haram,4,16,Military,Sub-Saharan Africa,Bombing/Explosion
202011230027,2020-11-23,Nigeria,Ikarama,Niger Delta extremists (suspected),0,0,Utilities,Sub-Saharan Africa,Bombing/Explosion
202011230019,2020-11-23,Cameroon,Mstseliya,Boko Haram,0,0,Private Citizens & Property,Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
202011230018,2020-11-25,Cameroon,Gabass,Boko Haram,3,Unknown,Private Citizens & Property,Sub-Saharan Africa,Hostage Taking (Kidnapping)
202011220021,2020-11-22,Nigeria,Igbatayo,Fulani extremists,0,Unknown,Business,Sub-Saharan Africa,Facility/Infrastructure Attack
202011220017,2020-11-22,Cameroon,Yegoua,Boko Haram,0,0,Private Citizens & Property,Sub-Saharan Africa,Facility/Infrastructure Attack
202011210032,2020-11-21,Nigeria,Lafia,Unknown,1,0,Private Citizens & Property,Sub-Saharan Africa,Assassination
202011210007,2020-11-21,Nigeria,Pilimari,Boko Haram,6,26,"Military,Terrorists/Non-state Militia",Sub-Saharan Africa,"Hijacking,Bombing/Explosion,Armed Assault"
202011200020,2020-11-21,Nigeria,Unknown,Unknown,Unknown,Unknown,Utilities,Sub-Saharan Africa,Bombing/Explosion
202011200019,2020-11-21,Nigeria,Unknown,Unknown,Unknown,Unknown,Utilities,Sub-Saharan Africa,Bombing/Explosion
202011200004,2020-11-20,Nigeria,Dutsen Gari,Unknown,5,Unknown,Religious Figures/Institutions,Sub-Saharan Africa,Hostage Taking (Kidnapping)
202011190009,2020-11-19,Nigeria,Toru Orua,Unknown,1,0,Government (General),Sub-Saharan Africa,Armed Assault
202011190008,2020-11-19,Cameroon,Douala,Unknown,0,5,Business,Sub-Saharan Africa,Bombing/Explosion
202011180012,2020-11-18,Nigeria,Unknown,Unknown,1,1,Government (General),Sub-Saharan Africa,Armed Assault
202011180010,2020-11-18,Cameroon,Kissem,Ambazonia Restoration Forces (ARF),3,0,Military,Sub-Saharan Africa,Armed Assault
202011170018,2020-11-17,Nigeria,Gidan Zaki,Fulani extremists,2,2,Government (General),Sub-Saharan Africa,Assassination
202011170016,2020-11-17,Cameroon,Satomi,Boko Haram,1,Unknown,Private Citizens & Property,Sub-Saharan Africa,Assassination
202011170015,2020-11-17,Nigeria,Banki,Boko Haram,5,0,Military,Sub-Saharan Africa,Armed Assault
202011120034,2020-11-11,Nigeria,Owo,Fulani extremists,0,0,Educational Institution,Sub-Saharan Africa,Hostage Taking (Kidnapping)
202011110006,2020-11-11,Nigeria,Miyanti,Boko Haram,2,0,Military,Sub-Saharan Africa,Unknown
202011090009,2020-11-09,Cameroon,Livanda,Separatists (suspected),0,0,Private Citizens & Property,Sub-Saharan Africa,Hostage Taking (Kidnapping)
202011080013,2020-11-08,Nigeria,Pulka,Boko Haram,Unknown,Unknown,"Military,Terrorists/Non-state Militia",Sub-Saharan Africa,"Bombing/Explosion,Armed Assault"
202011080009,2020-11-08,Nigeria,Gwoza,Boko Haram,1,Unknown,"Military,Terrorists/Non-state Militia,Private Citizens & Property",Sub-Saharan Africa,"Bombing/Explosion,Armed Assault"
202011070012,2020-11-07,Nigeria,Karji Kaduna,Fulani extremists,Unknown,Unknown,Private Citizens & Property,Sub-Saharan Africa,Hostage Taking (Kidnapping)
202011060009,2020-11-06,Nigeria,Dande,Fulani extremists,4,1,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
202011060003,2020-11-06,Cameroon,Liwu La-Malale,Separatists,1,0,Private Citizens & Property,Sub-Saharan Africa,Assassination
202011050021,2020-11-05,Cameroon,Babessi,Separatists,0,0,"Government (General),Religious Figures/Institutions,Private Citizens & Property",Sub-Saharan Africa,Hostage Taking (Kidnapping)
202011040007,2020-11-04,Cameroon,Fundong,Unknown,0,0,Private Citizens & Property,Sub-Saharan Africa,Hostage Taking (Kidnapping)
202011040006,2020-11-04,Cameroon,Limbe,Separatists,0,0,Educational Institution,Sub-Saharan Africa,"Hostage Taking (Barricade Incident),Facility/Infrastructure Attack"
202011030009,2020-11-03,Cameroon,Bamenda,Separatists,0,0,Educational Institution,Sub-Saharan Africa,Armed Assault
202011030006,2020-11-03,Cameroon,Kumbo,Ambazonia Restoration Forces (ARF),0,0,"Educational Institution,Educational Institution",Sub-Saharan Africa,Hostage Taking (Kidnapping)
202011020024,2020-11-02,Nigeria,Mallam Fatori,Boko Haram,9,0,Military,Sub-Saharan Africa,Bombing/Explosion
202011010016,2020-11-01,Cameroon,Yaounde,Unknown,0,4,Business,Sub-Saharan Africa,Bombing/Explosion
202011010004,2020-11-01,Nigeria,Takulashi Buladunya,Boko Haram,7,Unknown,"Private Citizens & Property,Terrorists/Non-state Militia",Sub-Saharan Africa,"Hostage Taking (Kidnapping),Armed Assault,Facility/Infrastructure Attack"
202010310012,2020-10-31,Nigeria,Kunai,Fulani extremists,1,0,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
202010300015,2020-10-30,Nigeria,Unknown,Boko Haram,3,0,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
202010290015,2020-10-29,Nigeria,Magunguna,Fulani extremists,1,1,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
202010280030,2020-10-28,Nigeria,Ado district,Fulani extremists (suspected),2,0,"Police,Private Citizens & Property",Sub-Saharan Africa,Armed Assault
202010260021,2020-10-26,Nigeria,Kwakwa,Fulani extremists,1,1,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
202010260013,2020-10-24,Nigeria,Unknown,Boko Haram,Unknown,Unknown,Military,Sub-Saharan Africa,Unknown
202010250008,2020-10-25,Nigeria,Moranti,Boko Haram,8,0,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
202010240017,2020-10-24,Nigeria,Unknown,Boko Haram,Unknown,Unknown,Military,Sub-Saharan Africa,Unknown
202010240016,2020-10-25,Nigeria,Damboa,Boko Haram,20,11,Military,Sub-Saharan Africa,Armed Assault
202010240011,2020-10-24,Nigeria,Babban Gida,Boko Haram,7,Unknown,"Government (General),Police,Military",Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
202010240004,2020-10-24,Cameroon,Kumba,Separatists (suspected),8,12,Educational Institution,Sub-Saharan Africa,Armed Assault
202010230029,2020-10-23,Cameroon,Bamenda,Unknown,Unknown,Unknown,Private Citizens & Property,Sub-Saharan Africa,Hostage Taking (Kidnapping)
202010230022,2020-10-23,Niger,Tera,Unknown,2,0,Business,Sub-Saharan Africa,Bombing/Explosion
202010230013,2020-10-22,Nigeria,Doska,Boko Haram,7,14,Military,Sub-Saharan Africa,Armed Assault
202010210040,2020-10-21,Nigeria,Matori,Unknown,0,0,Journalists & Media,Sub-Saharan Africa,Facility/Infrastructure Attack
202010210031,2020-10-21,Nigeria,Port Harcourt,Indigenous People of Biafra (IPOB),4,0,Police,Sub-Saharan Africa,Armed Assault
202010210025,2020-10-21,Nigeria,Eberi,Indigenous People of Biafra (IPOB),0,0,Police,Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
202010210024,2020-10-21,Nigeria,Oyigbo district,Indigenous People of Biafra (IPOB),1,0,Police,Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
202010210018,2020-10-21,Nigeria,Afam,Indigenous People of Biafra (IPOB),1,0,Police,Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
202010210017,2020-10-21,Nigeria,Oyigbo,Indigenous People of Biafra (IPOB),1,0,Police,Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
202010210016,2020-10-21,Nigeria,Orji,Unknown,0,0,Police,Sub-Saharan Africa,Facility/Infrastructure Attack
202010210015,2020-10-21,Nigeria,Ubomiri,Unknown,2,0,Military,Sub-Saharan Africa,Armed Assault
202010210014,2020-10-21,Nigeria,Nworieubi,Unknown,2,0,Police,Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
202010200033,2020-10-20,Chad,Tchoukou Maria,Boko Haram,16,12,Military,Sub-Saharan Africa,Unknown
202010190014,2020-10-19,Nigeria,Konduga district,Boko Haram,Unknown,Unknown,"Transportation,Private Citizens & Property",Sub-Saharan Africa,Hostage Taking (Kidnapping)
202010190010,2020-10-19,Chad,Mamdi district,Boko Haram,4,Unknown,Military,Sub-Saharan Africa,"Bombing/Explosion,Armed Assault"
202010190006,2020-10-19,Nigeria,Gombe,Boko Haram,0,0,Religious Figures/Institutions,Sub-Saharan Africa,Hostage Taking (Kidnapping)
202010160028,2020-10-16,Nigeria,Jakana,Boko Haram,14,Unknown,Military,Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
202010160020,2020-10-16,Cameroon,Goumouldi,Boko Haram,0,0,Private Citizens & Property,Sub-Saharan Africa,Facility/Infrastructure Attack
202010160019,2020-10-16,Cameroon,Kolofata,Unknown,1,0,Private Citizens & Property,Sub-Saharan Africa,Facility/Infrastructure Attack
202010160018,2020-10-16,Cameroon,Yagoua,Boko Haram,Unknown,Unknown,Terrorists/Non-state Militia,Sub-Saharan Africa,Unknown
202010160017,2020-10-16,Cameroon,Oudal,Boko Haram,3,Unknown,Private Citizens & Property,Sub-Saharan Africa,"Hostage Taking (Kidnapping),Armed Assault"
202010150019,2020-10-15,Nigeria,Okofi,Unknown,3,0,Religious Figures/Institutions,Sub-Saharan Africa,Armed Assault
202010130016,2020-10-13,Nigeria,Isiala Ngwa South district,Unknown,0,0,Government (General),Sub-Saharan Africa,Assassination
202010130015,2020-10-13,Nigeria,Anyigba,Unknown,1,0,Government (General),Sub-Saharan Africa,Assassination
202010120009,2020-10-12,Nigeria,Ngwom,Boko Haram,14,1,Private Citizens & Property,Sub-Saharan Africa,Hostage Taking (Kidnapping)
202010100019,2020-10-10,Nigeria,Koton-Karfe district,Unknown,7,Unknown,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
202010090020,2020-10-09,Nigeria,Eku,Unknown,2,0,Police,Sub-Saharan Africa,Armed Assault
202010090017,2020-10-09,Ghana,Mfantsiman district,Unknown,2,0,Government (General),Sub-Saharan Africa,Assassination
202010080029,2020-10-08,Ghana,Sanguli-Labaldo,Unknown,1,1,NGO,Sub-Saharan Africa,Assassination
202010060018,2020-10-06,Nigeria,Wereng,Fulani extremists (suspected),6,Unknown,"Government (General),Private Citizens & Property",Sub-Saharan Africa,Assassination
202010030012,2020-10-03,Nigeria,Unknown,Unknown,0,0,Government (General),Sub-Saharan Africa,Assassination
202010010022,2020-10-01,Nigeria,Maraban Rido,Fulani extremists,1,Unknown,Religious Figures/Institutions,Sub-Saharan Africa,"Hostage Taking (Kidnapping),Armed Assault"
202009300007,2020-09-29,Nigeria,Marte,Boko Haram,10,8,Military,Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
202009280036,2020-09-28,Nigeria,Kpachudu,Fulani extremists (suspected),3,0,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
202009280031,2020-09-28,Ghana,Ho,Western Togoland Restoration Front (WTRF),0,Unknown,Transportation,Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
202009280010,2020-09-28,Cameroon,Zeleved,Boko Haram,2,1,Military,Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
202009270030,2020-09-27,Nigeria,Ncha,Fulani extremists (suspected),3,0,Private Citizens & Property,Sub-Saharan Africa,Unknown
202009270005,2020-09-27,Nigeria,Baga,Boko Haram,Unknown,Unknown,Government (General),Sub-Saharan Africa,Assassination
202009260010,2020-09-26,Nigeria,Issele-Uku,Fulani extremists (suspected),0,0,"Religious Figures/Institutions,Private Citizens & Property",Sub-Saharan Africa,Hostage Taking (Kidnapping)
202009250020,2020-09-25,Ghana,Mepe,Western Togoland Restoration Front (WTRF),0,2,Police,Sub-Saharan Africa,"Hostage Taking (Kidnapping),Armed Assault,Facility/Infrastructure Attack"
202009250019,2020-09-25,Ghana,Aveyime,Western Togoland Restoration Front (WTRF),0,3,Police,Sub-Saharan Africa,"Hostage Taking (Kidnapping),Armed Assault,Facility/Infrastructure Attack"
202009250011,2020-09-25,Nigeria,Unknown,Boko Haram,11,13,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
202009250002,2020-09-25,Nigeria,Korochara,Boko Haram,30,Unknown,"Government (General),Military,Terrorists/Non-state Militia",Sub-Saharan Africa,"Assassination,Hostage Taking (Kidnapping)"
202009240017,2020-09-24,Nigeria,Gwol,Fulani extremists (suspected),5,1,Business,Sub-Saharan Africa,Armed Assault
202009230013,2020-09-23,Nigeria,Owaza,Indigenous People of Biafra (IPOB),4,Unknown,Military,Sub-Saharan Africa,Armed Assault
202009230010,2020-09-23,Nigeria,Unknown,Boko Haram,Unknown,Unknown,Unknown,Sub-Saharan Africa,Facility/Infrastructure Attack
202009230009,2020-09-23,Nigeria,Mandaragraw,Boko Haram,3,7,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
202009220007,2020-09-22,Nigeria,Riyom district,Fulani extremists (suspected),0,9,Business,Sub-Saharan Africa,Armed Assault
202009210025,2020-09-21,Nigeria,Foron,Fulani extremists (suspected),1,0,Government (General),Sub-Saharan Africa,Assassination
202009200044,2020-09-20,Nigeria,Damasak,Boko Haram (suspected),0,0,Private Citizens & Property,Sub-Saharan Africa,Unknown
202009200043,2020-09-20,Nigeria,Magumeri,Unknown,2,0,"Private Citizens & Property,Police",Sub-Saharan Africa,Unknown
202009200018,2020-09-20,Nigeria,Tse-Apera,Fulani extremists (suspected),5,7,Private Citizens & Property,Sub-Saharan Africa,"Hostage Taking (Kidnapping),Armed Assault,Facility/Infrastructure Attack"
202009200010,2020-09-20,Nigeria,Sabon Gari-Wajiroko,Boko Haram,4,0,Military,Sub-Saharan Africa,Unknown
202009190017,2020-09-19,Cameroon,Bamenda,Ambazonia Restoration Forces (ARF),1,2,Police,Sub-Saharan Africa,Armed Assault
202009180012,2020-09-18,Cameroon,Kassa,Boko Haram,2,Unknown,Private Citizens & Property,Sub-Saharan Africa,Unknown
202009170030,2020-09-17,Nigeria,Gidan Madi,Unknown,2,1,"Private Citizens & Property,Police",Sub-Saharan Africa,Armed Assault
202009170028,2020-09-17,Nigeria,Egume,Fulani extremists,1,Unknown,Business,Sub-Saharan Africa,"Hostage Taking (Kidnapping),Armed Assault"
202009150015,2020-09-15,Nigeria,Wassaram,Boko Haram,10,2,"Private Citizens & Property,Private Citizens & Property,Transportation",Sub-Saharan Africa,"Hostage Taking (Kidnapping),Armed Assault"
202009140034,2020-09-14,Nigeria,Igirigiri,Unknown,1,0,Government (General),Sub-Saharan Africa,Assassination
202009140030,2020-09-14,Cameroon,Bongongo,Separatists,3,1,"Military,Private Citizens & Property",Sub-Saharan Africa,"Bombing/Explosion,Armed Assault"
202009110033,2020-09-11,Nigeria,Manyi-Mashin,Fulani extremists,2,0,Private Citizens & Property,Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
202009110014,2020-09-11,Cameroon,Zeleved,Boko Haram,6,10,"Government (General),Private Citizens & Property",Sub-Saharan Africa,Assassination
202009110012,2020-09-11,Nigeria,Kareto,Boko Haram,0,0,"Government (General),Private Citizens & Property",Sub-Saharan Africa,Hostage Taking (Kidnapping)
202009090026,2020-09-09,Nigeria,Unknown,Atyap militia,0,0,Private Citizens & Property,Sub-Saharan Africa,Unknown
202009090025,2020-09-09,Nigeria,Bakin Kogi,Atyap militia,1,0,Private Citizens & Property,Sub-Saharan Africa,Unknown
202009090012,2020-09-09,Cameroon,Talakachi,Boko Haram (suspected),0,7,Private Citizens & Property,Sub-Saharan Africa,Bombing/Explosion
202009080038,2020-09-08,Nigeria,Gora,Atyap militia,3,2,Private Citizens & Property,Sub-Saharan Africa,Unknown
202009080037,2020-09-08,Nigeria,Kitsarapang,Fulani extremists (suspected),1,2,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
202009080036,2020-09-08,Nigeria,Atakmawei,Fulani extremists,1,2,"Private Citizens & Property,Private Citizens & Property",Sub-Saharan Africa,Armed Assault
202009080015,2020-09-06,Nigeria,Maiduguri,Boko Haram,2,Unknown,Private Citizens & Property,Sub-Saharan Africa,Hostage Taking (Kidnapping)
202009080014,2020-09-06,Nigeria,Maiduguri,Boko Haram,4,0,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
202009080013,2020-09-06,Nigeria,Kurmari,Boko Haram,4,0,Private Citizens & Property,Sub-Saharan Africa,Unknown
202009070021,2020-09-07,Nigeria,Okagwe,Unknown,1,4,Police,Sub-Saharan Africa,Armed Assault
202009060043,2020-09-06,Nigeria,Igabi district,Fulani extremists (suspected),1,Unknown,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
202009060042,2020-09-06,Nigeria,Kauru district,Fulani extremists (suspected),1,Unknown,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
202009060041,2020-09-06,Nigeria,Giwa district,Fulani extremists (suspected),1,Unknown,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
202009060040,2020-09-06,Nigeria,Chikun district,Fulani extremists (suspected),1,Unknown,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
202009060033,2020-09-06,Nigeria,Kemara Rimi,Fulani extremists (suspected),Unknown,Unknown,Private Citizens & Property,Sub-Saharan Africa,Hostage Taking (Kidnapping)
